,10,20,30,40,50,60,70,80
0,614,614,614,614,614,614,614,614
10,1005,967,962,973,933,909,920,878
30,895,953,932,947,915,887,897,884
50,813,907,899,915,892,894,906,891
70,706,819,825,918,887,886,864,869
90,691,811,820,897,849,846,845,843
110,684,804,790,853,829,828,845,870
130,663,752,775,842,816,821,851,862
150,639,759,770,816,823,795,832,839
